TimeID,Date
1,07:15.1
2,07:15.1
3,07:15.1
4,07:15.1
5,07:15.1
6,07:15.1
7,07:15.1
8,07:15.1
9,07:15.1
10,07:15.1
11,07:15.1
12,07:15.1
13,07:15.1
14,07:15.1
15,07:15.1
16,07:15.1
17,07:15.1
18,07:15.1
19,07:15.1
20,07:15.1
21,07:15.1
22,07:15.1
23,07:15.1
24,07:15.1
25,07:15.1
26,07:15.1
27,07:15.1
28,07:15.1
29,07:15.1
30,07:15.1
31,07:15.1
32,07:15.1
33,07:15.1
34,07:15.1
35,07:15.1
36,07:15.1
37,07:15.1
38,07:15.1
39,07:15.1
40,07:15.1
41,07:15.1
42,07:15.1
43,07:15.1
44,07:15.1
45,07:15.1
46,07:15.1
47,07:15.1
48,07:15.1
49,07:15.1
50,07:15.1
51,07:15.1
52,07:15.1
53,07:15.1
54,07:15.1
55,07:15.1
56,07:15.1
57,07:15.1
58,07:15.1
59,07:15.1
60,07:15.1
61,07:15.1
62,07:15.1
63,07:15.1
64,07:15.1
65,07:15.1
66,07:15.1
67,07:15.1
68,07:15.1
69,07:15.1
70,07:15.1
71,07:15.1
72,07:15.1
73,07:15.1
74,07:15.1
75,07:15.1
76,07:15.1
77,07:15.1
78,07:15.1
79,07:15.1
80,07:15.1
81,07:15.1
82,07:15.1
83,07:15.1
84,07:15.1
85,07:15.1
86,07:15.1
87,07:15.1
88,07:15.1
89,07:15.1
90,07:15.1
91,07:15.1
92,07:15.1
93,07:15.1
94,07:15.1
95,07:15.1
96,07:15.1
97,07:15.1
98,07:15.1
99,07:15.1
100,07:15.1
101,07:15.1
102,07:15.1
103,07:15.1
104,07:15.1
105,07:15.1
106,07:15.1
107,07:15.1
108,07:15.1
109,07:15.1
110,07:15.1
111,07:15.1
112,07:15.1
113,07:15.1
114,07:15.1
115,07:15.1
116,07:15.1
117,07:15.1
118,07:15.1
119,07:15.1
120,07:15.1
121,07:15.1
122,07:15.1
123,07:15.1
124,07:15.1
125,07:15.1
126,07:15.1
127,07:15.1
128,07:15.1
129,07:15.1
130,07:15.1
131,07:15.1
132,07:15.1
133,07:15.1
134,07:15.1
135,07:15.1
136,07:15.1
137,07:15.1
138,07:15.1
139,07:15.1
140,07:15.1
141,07:15.1
142,07:15.1
143,07:15.1
144,07:15.1
145,07:15.1
146,07:15.1
147,07:15.1
148,07:15.1
149,07:15.1
150,07:15.1
151,07:15.1
152,07:15.1
153,07:15.1
154,07:15.1
155,07:15.1
156,07:15.1
157,07:15.1
158,07:15.1
159,07:15.1
160,07:15.1
161,07:15.1
162,07:15.1
163,07:15.1
164,07:15.1
165,07:15.1
166,07:15.1
167,07:15.1
168,07:15.1
169,07:15.1
170,07:15.1
171,07:15.1
172,07:15.1
173,07:15.1
174,07:15.1
175,07:15.1
176,07:15.1
177,07:15.1
178,07:15.1
179,07:15.1
180,07:15.1
181,07:15.1
182,07:15.1
183,07:15.1
184,07:15.1
185,07:15.1
186,07:15.1
187,07:15.1
188,07:15.1
189,07:15.1
190,07:15.1
191,07:15.1
192,07:15.1
193,07:15.1
194,07:15.1
195,07:15.1
196,07:15.1
197,07:15.1
198,07:15.1
199,07:15.1
200,07:15.1
201,07:15.1
202,07:15.1
203,07:15.1
204,07:15.1
205,07:15.1
206,07:15.1
207,07:15.1
208,07:15.1
209,07:15.1
210,07:15.1
211,07:15.1
212,07:15.1
213,07:15.1
214,07:15.1
215,07:15.1
216,07:15.1
217,07:15.1
218,07:15.1
219,07:15.1
220,07:15.1
221,07:15.1
222,07:15.1
223,07:15.1
224,07:15.1
225,07:15.1
226,07:15.1
227,07:15.1
228,07:15.1
229,07:15.1
230,07:15.1
231,07:15.1
232,07:15.1
233,07:15.1
234,07:15.1
235,07:15.1
236,07:15.1
237,07:15.1
238,07:15.1
239,07:15.1
240,07:15.1
241,07:15.1
242,07:15.1
243,07:15.1
244,07:15.1
245,07:15.1
246,07:15.1
247,07:15.1
248,07:15.1
249,07:15.1
250,07:15.1
251,07:15.1
252,07:15.1
253,07:15.1
254,07:15.1
255,07:15.1
256,07:15.1
257,07:15.1
258,07:15.1
259,07:15.1
260,07:15.1
261,07:15.1
262,07:15.1
263,07:15.1
264,07:15.1
265,07:15.1
266,07:15.1
267,07:15.1
268,07:15.1
269,07:15.1
270,07:15.1
271,07:15.1
272,07:15.1
273,07:15.1
274,07:15.1
275,07:15.1
276,07:15.1
277,07:15.1
278,07:15.1
279,07:15.1
280,07:15.1
281,07:15.1
282,07:15.1
283,07:15.1
284,07:15.1
285,07:15.1
286,07:15.1
287,07:15.1
288,07:15.1
289,07:15.1
290,07:15.1
291,07:15.1
292,07:15.1
293,07:15.1
294,07:15.1
295,07:15.1
296,07:15.1
297,07:15.1
298,07:15.1
299,07:15.1
300,07:15.1
301,07:15.1
302,07:15.1
303,07:15.1
304,07:15.1
305,07:15.1
306,07:15.1
307,07:15.1
308,07:15.1
309,07:15.1
310,07:15.1
311,07:15.1
312,07:15.1
313,07:15.1
314,07:15.1
315,07:15.1
316,07:15.1
317,07:15.1
318,07:15.1
319,07:15.1
320,07:15.1
321,07:15.1
322,07:15.1
323,07:15.1
324,07:15.1
325,07:15.1
326,07:15.1
327,07:15.1
328,07:15.1
329,07:15.1
330,07:15.1
331,07:15.1
332,07:15.1
333,07:15.1
334,07:15.1
335,07:15.1
336,07:15.1
337,07:15.1
338,07:15.1
339,07:15.1
340,07:15.1
341,07:15.1
342,07:15.1
343,07:15.1
344,07:15.1
345,07:15.1
346,07:15.1
347,07:15.1
348,07:15.1
349,07:15.1
350,07:15.1
351,07:15.1
352,07:15.1
353,07:15.1
354,07:15.1
355,07:15.1
356,07:15.1
357,07:15.1
358,07:15.1
359,07:15.1
360,07:15.1
361,07:15.1
362,07:15.1
363,07:15.1
364,07:15.1
365,07:15.1
366,07:15.1
